Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min
Pharah,Gold,2.65,"1.37","47.64",20.17,7.07,42,8574,,9.29
Pharah,Platinum,2.43,"1.38","42.52",19.26,6.46,43,8329,,9.67
Pharah,Diamond,2.40,"1.41","40.99",19.14,6.48,42,8296,,9.75
Pharah,Master,2.40,"1.46","41.28",18.65,6.48,43,8157,,9.66
Pharah,Grandmaster,2.38,"1.70","41.14",18.48,6.55,43,8100,,9.69
Baptiste,All,3.44,"4.00","49.75",9.91,4.72,67,3332,8018,7.57
Baptiste,Bronze,2.90,"4.44","42.13",8.79,4.39,66,3157,7783,8.05
Baptiste,Silver,3.06,"2.82","42.69",9.28,4.50,65,3242,7702,8.05
Baptiste,Gold,3.17,"3.15","44.76",9.38,4.54,67,3289,8001,7.83
Baptiste,Platinum,3.08,"5.22","49.60",9.14,4.40,64,3290,7990,7.98
Baptiste,Diamond,3.00,"2.67","39.73",8.85,4.26,65,3207,7900,8.06
Baptiste,Master,2.95,"2.87","38.58",8.79,4.30,63,3211,7910,8.09
Baptiste,Grandmaster,2.82,"3.03","36.88",8.63,4.24,65,3186,7805,8.23
Winston,All,3.96,"1.57","49.54",20.02,7.43,120,7450,,7.06
Winston,Bronze,3.40,"1.39","43.38",18.36,7.44,126,7027,,7.31
Winston,Silver,3.89,"1.39","53.49",19.55,7.56,120,7266,,7.18
Winston,Gold,4.11,"1.14","44.34",19.97,7.51,126,7343,,6.86
Winston,Platinum,3.60,"2.01","48.66",19.30,7.33,123,7398,,7.09
Winston,Diamond,3.68,"2.07","50.19",19.32,7.36,122,7342,,7.01
Winston,Master,3.56,"1.28","46.64",18.76,7.45,125,7169,,7.17
Winston,Grandmaster,3.60,"1.45","46.87",18.84,7.45,125,7163,,7.11
Sigma,All,4.50,"1.35","50.11",17.80,9.15,134,9265,,5.47
Sigma,Bronze,3.68,"1.35","38.49",15.98,8.84,135,8729,,6.22
Sigma,Silver,3.97,"1.18","46.00",16.89,9.09,139,9112,,5.83
Sigma,Gold,4.25,"1.33","46.06",17.54,9.39,129,9180,,5.79
Sigma,Platinum,3.90,"1.29","44.84",16.67,8.85,129,8922,,6.05
Sigma,Diamond,3.84,"1.27","40.13",16.37,8.73,129,8989,,6.12
Sigma,Master,3.64,"1.51","41.72",16.17,8.88,129,8948,,6.18
Sigma,Grandmaster,3.58,"1.27","36.84",16.06,8.90,131,8853,,6.30
Doomfist,All,3.38,"0.23","51.53",16.27,6.70,96,7129,,7.92
Doomfist,Bronze,3.37,"0.20","35.83",15.99,7.19,90,7171,,8.31
